Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Chicken Feet,Chicken Wings,Dried Fish Sardine,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose","Groundnut oil: 1 bottle, specify bottle",Iced Sardine,Irish potato,Mackerel : frozen,Maize grain white sold loose,Maize grain yellow sold loose,Mudfish (aro) fresh,Mudfish : dried,Onion bulb,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Tomato,"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),Yam tuber
678.9138724,63.99534187,530.615296,519.0500354,1508.076874,2026.854063,450.5144747,412.2490384,513.502275,1379.183433,2117.292341,1751.456289,932.4155504,1250.069108,1730.644041,216.7704443,253.846209,2380.805013,318.7409376,335.1866805,1007.683614,1337.698272,448.3803187,1414.151567,305.6854715,304.3538515,1305.068973,2041.14229,380.9402763,842.7538134,306.754705,288.8217232,504.1954262,440.2601966,494.8823679,612.254696,227.738719,1176.898456,1554.347713,426.5437273,981.1579592,1047.735212,361.1982784
891.5411686,88.22230601,596.9597437,576.2044476,1856.193992,2479.609558,561.2142534,518.142828,584.9540591,1566.337452,2352.148652,1921.309934,1108.613176,1413.195345,1949.975998,300.1070962,369.1460484,2827.599951,353.1588202,391.379223,1292.546607,1641.960346,557.061188,1651.540164,339.7943906,343.9177497,1442.910409,2256.480356,444.366757,1086.696334,400.4325832,366.437185,613.2941368,530.0819659,597.5030863,765.1488532,278.3554841,1279.928848,1781.658622,466.5962734,1220.616517,1275.230427,443.0203874
915.4084833,88.17158594,615.6743777,584.4199005,1887.270281,2495.685227,577.4147204,536.0010224,601.6136447,1589.121896,2379.974196,1937.262115,1115.294981,1428.709191,1983.193272,308.6602885,378.8218242,2853.160294,362.4982132,399.7818647,1317.504243,1669.575317,567.2853629,1660.032356,346.6706937,349.4623556,1466.244327,2287.826054,441.3800974,1107.136944,412.3938061,372.889165,631.4973915,546.7641431,609.5736222,781.5031494,286.2575654,1276.123131,1796.456504,485.1011725,1239.582565,1295.167496,444.6909561
34.83425815,37.77813098,16.03027323,12.59413558,25.14416958,23.13097786,28.16785095,30.01874414,17.15890543,15.22193916,12.40649909,10.60864765,19.61351143,14.29041658,14.59278884,42.39039344,49.23280743,19.84014979,13.72816306,19.27140546,30.74582387,24.80955922,26.51879203,17.38715951,13.40764477,14.82107219,12.34994914,12.08557414,15.86595718,31.37133606,34.43764655,29.10703558,25.24853632,24.19113681,23.17545779,27.64347168,25.69560706,8.431031133,15.57623106,13.7283569,26.3387361,23.61591763,23.11546943
2.677084973,-0.057491201,3.134990959,1.425787834,1.67419402,0.648314537,2.886681321,3.446577559,2.84801607,1.45463187,1.182984082,0.830276314,0.602717471,1.09778496,1.7034709,2.85004669,2.621124047,0.903958928,2.644530584,2.146930968,1.93088865,1.681829362,1.835377359,0.51419834,2.023665871,1.612189512,1.617142537,1.389141188,-0.672115899,1.880986433,2.98707535,1.760732878,2.968111644,3.147093902,2.02016294,2.137400603,2.838845215,-0.297338154,0.830567763,3.965933744,1.553808875,1.563409133,0.377086178
